,horizon,mse,rmse,mae,mape,coverage
578,0 days 03:00:00.000000000,0.9619164207806657,0.9807733789110845,0.7600917315119539,0.082138296102364,0.9354838709677419
218,0 days 03:00:00.000000000,0.9746772442207179,0.9872574356370875,0.7700040301972433,0.08276589151999533,0.9354838709677419
602,0 days 03:00:00.000000000,0.9837527655905585,0.9918431154121898,0.7745078607243506,0.08351525456771557,0.9354838709677419
26,0 days 03:00:00.000000000,1.009663091313185,1.0048199297949783,0.7921104993404471,0.08534463721311572,0.9354838709677419
458,0 days 03:00:00.000000000,1.006433841025908,1.0032117628028032,0.7876255375378133,0.08485613117293951,0.9354838709677419
338,0 days 03:00:00.000000000,0.9943639416212906,0.9971779889374267,0.7783871575524761,0.08393616248756132,0.9354838709677419
266,0 days 03:00:00.000000000,1.0174596896251815,1.008692068782729,0.7961680958108341,0.08619158613906473,0.9354838709677419
242,0 days 03:00:00.000000000,1.0408471744397725,1.0202191796078783,0.813796096721372,0.08833569968433491,0.9354838709677419
290,0 days 03:00:00.000000000,1.0366800866847958,1.0181748802071262,0.8106479003694638,0.08790735014496269,0.9354838709677419
362,0 days 03:00:00.000000000,1.028974584036784,1.0143838445267077,0.8047054086208162,0.08766594095143297,0.9354838709677419
122,0 days 03:00:00.000000000,1.049578321252922,1.0244892977737357,0.8223057442417835,0.08955613249522315,0.9354838709677419
554,0 days 03:00:00.000000000,1.019178998225974,1.009543955569035,0.8050237103989792,0.08749978120713411,0.9516129032258065
314,0 days 03:00:00.000000000,1.0271423079014792,1.0134802947771009,0.8118984054901003,0.088337606677,0.9516129032258065
50,0 days 03:00:00.000000000,0.8766440089175543,0.9362926940426024,0.7700671516582918,0.08434969815481912,0.967741935483871
386,0 days 03:00:00.000000000,0.8706738095083021,0.9330990352091798,0.7625157416702336,0.08335166913192091,0.967741935483871
146,0 days 03:00:00.000000000,0.8568189497542412,0.9256451532602767,0.7546137379809318,0.082049584329997,0.967741935483871
98,0 days 03:00:00.000000000,0.8838566936877602,0.9401365292805934,0.7699878675408764,0.08396217600015095,0.9516129032258065
99,0 days 04:00:00.000000000,0.8843696511025149,0.9404092997745794,0.7702160285131354,0.08453154441092738,0.9516129032258065
123,0 days 04:00:00.000000000,0.908776428712222,0.9532976600790657,0.7861152404488787,0.08619311500510646,0.9516129032258065
507,0 days 04:00:00.000000000,0.9051646552954548,0.9514014164880431,0.7818965578613737,0.08573909123374927,0.9516129032258065
435,0 days 04:00:00.000000000,0.9115859770797803,0.9547701173998798,0.7866603732565229,0.08675218429601574,0.9516129032258065
147,0 days 04:00:00.000000000,0.9144575675089951,0.9562727474465614,0.7900267341660095,0.0872926285640477,0.9516129032258065
483,0 days 04:00:00.000000000,1.044744864637327,1.0221276166102387,0.8332376684570151,0.09155644416415934,0.9354838709677419
459,0 days 04:00:00.000000000,1.0292315395336868,1.014510492569538,0.8186687164705712,0.08982340215818728,0.9354838709677419
387,0 days 04:00:00.000000000,1.0076015231979847,1.0037935660273902,0.8064729763200685,0.08850848669662925,0.9354838709677419
603,0 days 04:00:00.000000000,1.0221912148406924,1.0110347248441531,0.8144942137960364,0.08962072479700482,0.9354838709677419
339,0 days 04:00:00.000000000,1.007539434781154,1.0037626386657126,0.8033918485039472,0.08872233819351778,0.9354838709677419
267,0 days 04:00:00.000000000,1.009294414046424,1.004636458648811,0.8042299299638916,0.0891565004305098,0.9354838709677419
171,0 days 04:00:00.000000000,1.0087478937657952,1.0043644227897537,0.8019593081603934,0.08902215227045913,0.9354838709677419
243,0 days 04:00:00.000000000,1.0091043708159175,1.0045418711113627,0.8021142651120792,0.08929169402126128,0.9354838709677419
363,0 days 04:00:00.000000000,0.978734480510995,0.9893101033098747,0.7863600691947168,0.08749752096958671,0.9354838709677419
555,0 days 04:00:00.000000000,0.9770551844180527,0.988461018158052,0.7850221696028534,0.08705119937931928,0.9354838709677419
27,0 days 04:00:00.000000000,1.0095934891226077,1.0047852950370082,0.7993559025741374,0.08872745179040625,0.9193548387096774
219,0 days 04:00:00.000000000,1.030762766527888,1.0152648750586657,0.8145116916172747,0.09007700067527379,0.9193548387096774
51,0 days 04:00:00.000000000,1.0318668501963537,1.0158084712170665,0.818135437705417,0.0904050649061861,0.9193548387096774
291,0 days 04:00:00.000000000,1.0284865195235688,1.0141432440851583,0.8155434388961154,0.09029611024268555,0.9193548387096774
195,0 days 04:00:00.000000000,1.0412670324559397,1.0204249273983559,0.8276137206662366,0.09220217181026343,0.9193548387096774
531,0 days 04:00:00.000000000,1.0374226721469475,1.0185394799157015,0.8253477442553827,0.0915900226018252,0.9193548387096774
75,0 days 04:00:00.000000000,1.0386852364952308,1.019159083016597,0.8263610942224814,0.0921335268628049,0.9193548387096774
411,0 days 04:00:00.000000000,1.052523482888955,1.0259256712301115,0.8329042044664723,0.09281872980111436,0.9193548387096774
3,0 days 04:00:00.000000000,0.918753352626848,0.9585162244984944,0.794058422559339,0.08936904031804667,0.9354838709677419
315,0 days 04:00:00.000000000,0.9278094944345956,0.963228682315158,0.8015321482465053,0.09000286818937785,0.9354838709677419
579,0 days 04:00:00.000000000,0.9084446418127795,0.9531236235729232,0.7889517247591653,0.0882903808699593,0.9354838709677419
316,0 days 05:00:00.000000000,0.9162648001907349,0.9572172168273693,0.7960003058327275,0.0888882822835734,0.9354838709677419
268,0 days 05:00:00.000000000,0.9246124847012159,0.9615677223686411,0.8022087138451386,0.08965387797532424,0.9354838709677419
292,0 days 05:00:00.000000000,0.9146464664476773,0.9563715106838332,0.7961896070454733,0.08903213910977945,0.9354838709677419
